file_path,true_label,true_label_cn,pred_label,pred_label_cn,confidence
data\CREMA-D\AudioWAV\1086_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.8165
data\CREMA-D\AudioWAV\1086_IOM_NEU_XX.wav,neutral,中性,angry,愤怒,0.4616
data\CREMA-D\AudioWAV\1086_IOM_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9096
data\CREMA-D\AudioWAV\1086_ITH_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.5684
data\CREMA-D\AudioWAV\1086_IWL_FEA_XX.wav,fearful,恐惧,happy,开心,0.764
data\CREMA-D\AudioWAV\1086_IWL_SAD_XX.wav,sad,悲伤,happy,开心,0.6819
data\CREMA-D\AudioWAV\1086_IWW_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.7005
data\CREMA-D\AudioWAV\1086_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.7573
data\CREMA-D\AudioWAV\1086_MTI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.929
data\CREMA-D\AudioWAV\1086_TAI_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.6166
data\CREMA-D\AudioWAV\1086_TAI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.6003
data\CREMA-D\AudioWAV\1086_TIE_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.919
data\CREMA-D\AudioWAV\1086_TIE_HAP_XX.wav,happy,开心,angry,愤怒,0.9045
data\CREMA-D\AudioWAV\1086_TIE_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8537
data\CREMA-D\AudioWAV\1086_TSI_HAP_XX.wav,happy,开心,angry,愤怒,0.881
data\CREMA-D\AudioWAV\1086_TSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.9361
data\CREMA-D\AudioWAV\1086_WSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.4335
data\CREMA-D\AudioWAV\1087_DFA_NEU_XX.wav,neutral,中性,sad,悲伤,0.7876
data\CREMA-D\AudioWAV\1087_IEO_ANG_LO.wav,angry,愤怒,disgust,厌恶,0.9304
data\CREMA-D\AudioWAV\1087_IEO_ANG_MD.wav,angry,愤怒,disgust,厌恶,0.9273
data\CREMA-D\AudioWAV\1087_IEO_HAP_MD.wav,happy,开心,disgust,厌恶,0.9367
data\CREMA-D\AudioWAV\1087_IEO_NEU_XX.wav,neutral,中性,disgust,厌恶,0.8132
data\CREMA-D\AudioWAV\1087_IEO_SAD_HI.wav,sad,悲伤,fearful,恐惧,0.9066
data\CREMA-D\AudioWAV\1087_IEO_SAD_LO.wav,sad,悲伤,fearful,恐惧,0.7218
data\CREMA-D\AudioWAV\1087_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.5903
data\CREMA-D\AudioWAV\1087_IOM_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.5434
data\CREMA-D\AudioWAV\1087_IOM_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.747
data\CREMA-D\AudioWAV\1087_IOM_SAD_XX.wav,sad,悲伤,neutral,中性,0.4886
data\CREMA-D\AudioWAV\1087_ITH_ANG_XX.wav,angry,愤怒,fearful,恐惧,0.6987
data\CREMA-D\AudioWAV\1087_ITH_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.531
data\CREMA-D\AudioWAV\1087_ITS_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.7304
data\CREMA-D\AudioWAV\1087_IWL_ANG_XX.wav,angry,愤怒,neutral,中性,0.6966
data\CREMA-D\AudioWAV\1087_IWL_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.6875
data\CREMA-D\AudioWAV\1087_IWL_HAP_XX.wav,happy,开心,disgust,厌恶,0.8227
data\CREMA-D\AudioWAV\1087_IWL_NEU_XX.wav,neutral,中性,disgust,厌恶,0.8955
data\CREMA-D\AudioWAV\1087_IWL_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.7863
data\CREMA-D\AudioWAV\1087_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.6484
data\CREMA-D\AudioWAV\1087_MTI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9339
data\CREMA-D\AudioWAV\1087_MTI_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.909
data\CREMA-D\AudioWAV\1087_MTI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.9303
data\CREMA-D\AudioWAV\1087_TAI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9349
data\CREMA-D\AudioWAV\1087_TIE_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.7016
data\CREMA-D\AudioWAV\1087_TIE_HAP_XX.wav,happy,开心,disgust,厌恶,0.8471
data\CREMA-D\AudioWAV\1087_TIE_SAD_XX.wav,sad,悲伤,happy,开心,0.362
data\CREMA-D\AudioWAV\1087_TSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.9179
data\CREMA-D\AudioWAV\1087_WSI_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.8053
data\CREMA-D\AudioWAV\1088_DFA_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.9083
data\CREMA-D\AudioWAV\1088_IEO_DIS_MD.wav,disgust,厌恶,happy,开心,0.5393
data\CREMA-D\AudioWAV\1088_IEO_FEA_LO.wav,fearful,恐惧,sad,悲伤,0.7517
data\CREMA-D\AudioWAV\1088_IEO_NEU_XX.wav,neutral,中性,fearful,恐惧,0.4241
data\CREMA-D\AudioWAV\1088_ITH_ANG_XX.wav,angry,愤怒,neutral,中性,0.4902
data\CREMA-D\AudioWAV\1088_ITH_HAP_XX.wav,happy,开心,neutral,中性,0.4086
data\CREMA-D\AudioWAV\1088_ITS_DIS_XX.wav,disgust,厌恶,happy,开心,0.6967
data\CREMA-D\AudioWAV\1088_IWL_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.7433
data\CREMA-D\AudioWAV\1088_IWW_ANG_XX.wav,angry,愤怒,happy,开心,0.4707
data\CREMA-D\AudioWAV\1088_IWW_DIS_XX.wav,disgust,厌恶,happy,开心,0.8588
data\CREMA-D\AudioWAV\1088_IWW_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.6844
data\CREMA-D\AudioWAV\1088_MTI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.9217
data\CREMA-D\AudioWAV\1088_MTI_HAP_XX.wav,happy,开心,sad,悲伤,0.6995
data\CREMA-D\AudioWAV\1088_TAI_ANG_XX.wav,angry,愤怒,disgust,厌恶,0.909
data\CREMA-D\AudioWAV\1088_TAI_HAP_XX.wav,happy,开心,sad,悲伤,0.6257
data\CREMA-D\AudioWAV\1088_TAI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.626
data\CREMA-D\AudioWAV\1088_TIE_HAP_XX.wav,happy,开心,neutral,中性,0.6335
data\CREMA-D\AudioWAV\1088_TSI_HAP_XX.wav,happy,开心,fearful,恐惧,0.8597
data\CREMA-D\AudioWAV\1088_WSI_HAP_XX.wav,happy,开心,fearful,恐惧,0.8991
data\CREMA-D\AudioWAV\1088_WSI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.5454
data\CREMA-D\AudioWAV\1089_DFA_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.902
data\CREMA-D\AudioWAV\1089_DFA_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.6542
data\CREMA-D\AudioWAV\1089_IEO_ANG_LO.wav,angry,愤怒,fearful,恐惧,0.8973
data\CREMA-D\AudioWAV\1089_IEO_NEU_XX.wav,neutral,中性,angry,愤怒,0.6875
data\CREMA-D\AudioWAV\1089_IEO_SAD_LO.wav,sad,悲伤,disgust,厌恶,0.4534
data\CREMA-D\AudioWAV\1089_IOM_DIS_XX.wav,disgust,厌恶,happy,开心,0.8214
data\CREMA-D\AudioWAV\1089_ITH_FEA_XX.wav,fearful,恐惧,happy,开心,0.9115
data\CREMA-D\AudioWAV\1089_ITH_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8383
data\CREMA-D\AudioWAV\1089_ITS_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.379
data\CREMA-D\AudioWAV\1089_IWL_FEA_XX.wav,fearful,恐惧,happy,开心,0.9014
data\CREMA-D\AudioWAV\1089_IWL_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.604
data\CREMA-D\AudioWAV\1089_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9089
data\CREMA-D\AudioWAV\1089_TAI_FEA_XX.wav,fearful,恐惧,happy,开心,0.8318
data\CREMA-D\AudioWAV\1089_TAI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.7317
data\CREMA-D\AudioWAV\1089_WSI_HAP_XX.wav,happy,开心,angry,愤怒,0.7588
data\CREMA-D\AudioWAV\1090_DFA_NEU_XX.wav,neutral,中性,happy,开心,0.9127
data\CREMA-D\AudioWAV\1090_IEO_ANG_LO.wav,angry,愤怒,disgust,厌恶,0.8538
data\CREMA-D\AudioWAV\1090_IEO_DIS_LO.wav,disgust,厌恶,fearful,恐惧,0.8742
data\CREMA-D\AudioWAV\1090_IEO_FEA_HI.wav,fearful,恐惧,happy,开心,0.8464
data\CREMA-D\AudioWAV\1090_IEO_FEA_LO.wav,fearful,恐惧,angry,愤怒,0.8404
data\CREMA-D\AudioWAV\1090_IEO_FEA_MD.wav,fearful,恐惧,neutral,中性,0.8719
data\CREMA-D\AudioWAV\1090_IOM_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8687
data\CREMA-D\AudioWAV\1090_ITH_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.6759
data\CREMA-D\AudioWAV\1090_ITS_NEU_XX.wav,neutral,中性,disgust,厌恶,0.9027
data\CREMA-D\AudioWAV\1090_IWL_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.5828
data\CREMA-D\AudioWAV\1090_IWL_NEU_XX.wav,neutral,中性,disgust,厌恶,0.8954
data\CREMA-D\AudioWAV\1090_IWL_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.5572
data\CREMA-D\AudioWAV\1090_IWW_DIS_XX.wav,disgust,厌恶,angry,愤怒,0.9181
data\CREMA-D\AudioWAV\1090_IWW_FEA_XX.wav,fearful,恐惧,disgust,厌恶,0.6141
data\CREMA-D\AudioWAV\1090_IWW_SAD_XX.wav,sad,悲伤,neutral,中性,0.9392
data\CREMA-D\AudioWAV\1090_MTI_NEU_XX.wav,neutral,中性,happy,开心,0.9155
data\CREMA-D\AudioWAV\1090_MTI_SAD_XX.wav,sad,悲伤,neutral,中性,0.7056
data\CREMA-D\AudioWAV\1090_TAI_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.7429
data\CREMA-D\AudioWAV\1090_TAI_FEA_XX.wav,fearful,恐惧,angry,愤怒,0.8885
data\CREMA-D\AudioWAV\1090_TAI_NEU_XX.wav,neutral,中性,sad,悲伤,0.3974
data\CREMA-D\AudioWAV\1090_TAI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8686
data\CREMA-D\AudioWAV\1090_TIE_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.7895
data\CREMA-D\AudioWAV\1090_TIE_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8893
data\CREMA-D\AudioWAV\1090_TSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.8777
data\CREMA-D\AudioWAV\1090_WSI_FEA_XX.wav,fearful,恐惧,sad,悲伤,0.2888
data\CREMA-D\AudioWAV\1090_WSI_SAD_XX.wav,sad,悲伤,disgust,厌恶,0.6355
data\CREMA-D\AudioWAV\1091_DFA_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.9037
data\CREMA-D\AudioWAV\1091_DFA_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9103
data\CREMA-D\AudioWAV\1091_IEO_ANG_MD.wav,angry,愤怒,fearful,恐惧,0.6493
data\CREMA-D\AudioWAV\1091_IEO_DIS_HI.wav,disgust,厌恶,angry,愤怒,0.9165
data\CREMA-D\AudioWAV\1091_IEO_DIS_LO.wav,disgust,厌恶,fearful,恐惧,0.8817
data\CREMA-D\AudioWAV\1091_IEO_DIS_MD.wav,disgust,厌恶,angry,愤怒,0.913
data\CREMA-D\AudioWAV\1091_IEO_HAP_HI.wav,happy,开心,angry,愤怒,0.8552
data\CREMA-D\AudioWAV\1091_IEO_SAD_HI.wav,sad,悲伤,neutral,中性,0.8116
data\CREMA-D\AudioWAV\1091_IEO_SAD_MD.wav,sad,悲伤,fearful,恐惧,0.7436
data\CREMA-D\AudioWAV\1091_IOM_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.7064
data\CREMA-D\AudioWAV\1091_IOM_NEU_XX.wav,neutral,中性,happy,开心,0.8379
data\CREMA-D\AudioWAV\1091_ITH_ANG_XX.wav,angry,愤怒,fearful,恐惧,0.7082
data\CREMA-D\AudioWAV\1091_ITH_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.727
data\CREMA-D\AudioWAV\1091_ITH_HAP_XX.wav,happy,开心,fearful,恐惧,0.9086
data\CREMA-D\AudioWAV\1091_ITH_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.901
data\CREMA-D\AudioWAV\1091_ITS_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.9062
data\CREMA-D\AudioWAV\1091_ITS_NEU_XX.wav,neutral,中性,fearful,恐惧,0.8322
data\CREMA-D\AudioWAV\1091_IWL_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.9084
data\CREMA-D\AudioWAV\1091_IWL_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8696
data\CREMA-D\AudioWAV\1091_IWW_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9089
data\CREMA-D\AudioWAV\1091_MTI_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.9181
data\CREMA-D\AudioWAV\1091_MTI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.9166
data\CREMA-D\AudioWAV\1091_TAI_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.6453
data\CREMA-D\AudioWAV\1091_TAI_HAP_XX.wav,happy,开心,fearful,恐惧,0.9034
data\CREMA-D\AudioWAV\1091_TIE_DIS_XX.wav,disgust,厌恶,fearful,恐惧,0.355
data\CREMA-D\AudioWAV\1091_TIE_SAD_XX.wav,sad,悲伤,happy,开心,0.8527
data\CREMA-D\AudioWAV\1091_TSI_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.5161
data\CREMA-D\AudioWAV\1091_TSI_SAD_XX.wav,sad,悲伤,fearful,恐惧,0.8686
data\CREMA-D\AudioWAV\1091_WSI_DIS_XX.wav,disgust,厌恶,sad,悲伤,0.7459
data\CREMA-D\AudioWAV\1091_WSI_HAP_XX.wav,happy,开心,neutral,中性,0.9181
